E_p_MeV,STOP_e_MeV_cm2_g,STOP_n_MeV_cm2_g,STOP_t_MeV_cm2_g,RANGE_c_g_cm2,RANGE_p_g_cm2,DETOUR
0.001,184.9,54.07,239.0,4.716e-06,2.489e-06,0.5279
0.0025,292.4,31.17,323.6,1.005e-05,6.236e-06,0.6206
0.005,413.5,19.49,433.0,1.666e-05,1.163e-05,0.6978
0.01,584.8,11.75,596.5,2.638e-05,2.031e-05,0.7698
0.025,850.9,5.757,856.6,4.682e-05,3.974e-05,0.8488
0.05,1044.0,3.276,1047.0,7.271e-05,6.508e-05,0.8951
0.1,1054.0,1.835,1056.0,0.0001192,0.0001111,0.9321
0.25,717.9,0.8369,718.7,0.000293,0.0002841,0.9697
0.5,464.9,0.4515,465.3,0.0007353,0.0007252,0.9863
1.0,289.1,0.2408,289.3,0.002145,0.002132,0.994
1.5,215.9,0.166,216.0,0.00417,0.004153,0.996
2.5,147.4,0.1036,147.5,0.00989,0.009865,0.9974
3.75,107.8,0.07104,107.9,0.01994,0.0199,0.998
5.0,85.97,0.05429,86.02,0.03301,0.03295,0.9983
7.5,62.15,0.03711,62.18,0.0677,0.0676,0.9985
10.0,49.23,0.0283,49.26,0.1132,0.1131,0.9986
15.0,35.36,0.01929,35.38,0.2349,0.2346,0.9987
