E_MeV,S_MeV_cm,E_p_same_velocity_MeV,PSTAR_STOP_t_MeV_cm2_g
0.002,253.34,0.001,239.0
0.005,343.016,0.0025,323.6
0.01,458.98,0.005,433.0
0.02,632.2900000000001,0.01,596.5
0.05,907.9960000000001,0.025,856.6
0.1,1109.8200000000002,0.05,1047.0
0.2,1119.3600000000001,0.1,1056.0
0.5,761.8220000000001,0.25,718.7
1.0,493.218,0.5,465.3
2.0,306.658,1.0,289.3
3.0,228.96,1.5,216.0
5.0,156.35,2.5,147.5
7.5,114.37400000000001,3.75,107.9
10.0,91.1812,5.0,86.02
15.0,65.91080000000001,7.5,62.18
20.0,52.2156,10.0,49.26
30.0,37.50280000000001,15.0,35.38
