stage,case,metric,value
deuteron_beam,rear10_Egt0p4_0to3ps,N_macro_E_gt_0p4,46358.0
deuteron_beam,rear10_Egt0p4_0to3ps,D_weight_sum_per_shot,11808309760.0
deuteron_beam,rear10_Egt0p4_0to3ps,E_weighted_mean_MeV,0.49154781710127704
deuteron_beam,rear10_Egt0p4_0to3ps,E_max_MeV,1.30732421
deuteron_beam,rear10_Egt0p4_0to3ps,weight_frac_mu_gt_0p8_after_axis_map,0.9999784287501617
deuteron_beam,rear10_Egt0p4_0to3ps,time_min_fs,1250.04036
deuteron_beam,rear10_Egt0p4_0to3ps,time_max_fs,3000.00904
neutron_source,rear10_Egt0p4_0to3ps,N_macro,46358.0
neutron_source,rear10_Egt0p4_0to3ps,Y_total_neutrons_per_shot_current_CD2_model,83512.70527362186
neutron_source,rear10_Egt0p4_0to3ps,E_weighted_mean_MeV,2.644051674174208
neutron_source,rear10_Egt0p4_0to3ps,E_max_MeV,4.0839628828333305
neutron_source,rear10_Egt0p4_0to3ps,weight_frac_E_gt_2p82,0.3563264321143519
neutron_source,rear10_Egt0p4_0to3ps,weight_frac_E_gt_2p82_mu_gt_0p8,0.12266020752551829
openmc_case_A,li6_90,TPR_Li6_per_source_neutron,0.1283228401927383
openmc_case_A,li6_90,TPR_Li6_rel_err,0.0007354235427099
openmc_case_B,li6_90,TPR_Li6_per_source_neutron,0.1298457433233598
openmc_case_B,li6_90,TPR_Li6_rel_err,0.0007498203171094
openmc_case_A,li6_90,TPR_Li7_per_source_neutron,0.0
openmc_case_A,li6_90,TPR_Li7_rel_err,
openmc_case_B,li6_90,TPR_Li7_per_source_neutron,8.3171010718097e-06
openmc_case_B,li6_90,TPR_Li7_rel_err,0.0041753158182615
openmc_case_A,li6_90,TPR_mesh_per_source_neutron,0.1283228401927382
openmc_case_A,li6_90,TPR_mesh_rel_err,0.0003142476817535
openmc_case_B,li6_90,TPR_mesh_per_source_neutron,0.1298540604244313
openmc_case_B,li6_90,TPR_mesh_rel_err,0.0003435769635834
openmc_case_A,li6_7p59,TPR_Li6_per_source_neutron,0.0111953386126951
openmc_case_A,li6_7p59,TPR_Li6_rel_err,0.0008204040764582
openmc_case_B,li6_7p59,TPR_Li6_per_source_neutron,0.0107360603421578
openmc_case_B,li6_7p59,TPR_Li6_rel_err,0.0008816098220035
openmc_case_A,li6_7p59,TPR_Li7_per_source_neutron,0.0
openmc_case_A,li6_7p59,TPR_Li7_rel_err,
openmc_case_B,li6_7p59,TPR_Li7_per_source_neutron,7.147324311568539e-05
openmc_case_B,li6_7p59,TPR_Li7_rel_err,0.0042203889652999
openmc_case_A,li6_7p59,TPR_mesh_per_source_neutron,0.0111953386126951
openmc_case_A,li6_7p59,TPR_mesh_rel_err,0.0003141849225064
openmc_case_B,li6_7p59,TPR_mesh_per_source_neutron,0.0108075335852735
openmc_case_B,li6_7p59,TPR_mesh_rel_err,0.000320601253093
