library,tally,case_A_mean,case_A_std,case_A_rel_err,case_B_mean,case_B_std,case_B_rel_err
endfb71_lanl,TPR_Li6,0.0111953386126951,9.184701435185907e-06,0.0008204040764582,0.0107360603421578,9.465016247269657e-06,0.0008816098220035
endfb71_lanl,TPR_Li7,0.0,0.0,nan,7.147324311568539e-05,3.016448865596388e-07,0.0042203889652999
endfb71_lanl,TPR_mesh,0.0111953386126951,3.517406594463078e-06,0.0003141849225064,0.0108075335852735,3.464908810284228e-06,0.000320601253093
fendl32,TPR_Li6,0.011196707503079151,9.043034283433964e-06,0.0008076512029047007,0.01073603638168181,9.473140100349593e-06,0.0008823684797224594
fendl32,TPR_Li7,0.0,0.0,nan,7.147632146774457e-05,3.016711126390928e-07,0.004220574120832858
fendl32,TPR_mesh,0.011196707503079224,3.517999519235629e-06,0.00031419946607233766,0.010807512703149547,3.4646818735383443e-06,0.0003205808744993341
endfb80,TPR_Li6,0.011221756358718705,8.638909154191061e-06,0.000769835743892184,0.010739915148608987,9.182631600498245e-06,0.0008550003862635323
endfb80,TPR_Li7,0.0,0.0,nan,7.144850824371637e-05,3.0125231326799545e-07,0.0042163555359392615
endfb80,TPR_mesh,0.01122175635871871,3.528191741683409e-06,0.00031440637533911443,0.010811363656852705,3.470123665287596e-06,0.00032097002519086324
jeff33,TPR_Li6,0.011196707529951788,9.043035758125447e-06,0.0008076513326738995,0.0107360364144292,9.473137762629982e-06,0.0008823682592859049
jeff33,TPR_Li7,0.0,0.0,nan,7.147632146774453e-05,3.0167111263916496e-07,0.00422057412083387
jeff33,TPR_mesh,0.01119670752995182,3.5179995537983125e-06,0.0003141994684051063,0.01080751273589694,3.464682267401252e-06,0.00032058090997139223
