source_id,li6_atpct,hdpe_cm,A_TPR_total_per_n,B_TPR_total_per_n,ratio_B_over_A_total
pic2d_a0_10_t_3um,7.59,0.0,0.0111899513326248,0.0109968405712084,0.982742484245366
pic2d_a0_20_t_3um,7.59,0.0,0.0111899513326248,0.017239086602169,1.540586378772502
pic2d_a0_10_t_3um,90.0,0.0,0.1283239225703521,0.1291144570836692,1.006160460945103
pic2d_a0_20_t_3um,90.0,0.0,0.1283239225703521,0.1265395566037425,0.9860948299360832
pic2d_a0_10_t_3um,7.59,2.0,0.0409766325934936,0.0391924567110142,0.9564586992743102
pic2d_a0_20_t_3um,7.59,2.0,0.0409766325934936,0.0416352505050361,1.0160730121012207
pic2d_a0_10_t_3um,90.0,2.0,0.182520182961544,0.1782947740541492,0.976849634715274
pic2d_a0_20_t_3um,90.0,2.0,0.182520182961544,0.1721958561284448,0.9434346017762072
pic2d_a0_10_t_3um,7.59,5.0,0.1773581789612512,0.1706833157408705,0.9623650667847748
pic2d_a0_20_t_3um,7.59,5.0,0.1773581789612512,0.1643818599395619,0.9268355195250156
pic2d_a0_10_t_3um,90.0,5.0,0.3060730819029442,0.2961483028341887,0.9675738258096716
pic2d_a0_20_t_3um,90.0,5.0,0.3060730819029442,0.2836366128633653,0.9266957129974156
